lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Irish,1,plurality,True,2,RF,0.65,0.75,0.71,0.62,0.74,0.67,0.70,0.73,0.69,0.73,0.64,0.67,
Irish,1,plurality,True,3,NN,0.62,0.68,0.66,0.54,0.68,0.67,0.69,0.66,0.71,0.72,0.69,0.63,
Irish,1,plurality,True,1,DT,0.69,0.69,0.67,0.61,0.68,0.59,0.72,0.70,0.70,0.67,0.61,0.64,
Irish,1,plurality,False,2,RF,0.60,0.72,0.66,0.64,0.72,0.65,0.68,0.70,0.63,0.72,0.63,0.63,
Irish,1,plurality,False,3,NN,0.58,0.60,0.62,0.54,0.70,0.65,0.61,0.57,0.63,0.64,0.63,0.63,
Irish,1,plurality,False,1,DT,0.63,0.70,0.63,0.59,0.69,0.63,0.64,0.68,0.62,0.65,0.64,0.61,
Irish,2,gender,True,3,NN,0.77,0.77,0.78,0.77,0.71,0.78,0.73,0.77,0.74,0.80,0.69,0.75,
Irish,2,gender,False,2,RF,0.77,0.75,0.70,0.76,0.77,0.76,0.76,0.76,0.72,0.83,0.68,0.72,
Irish,2,gender,False,1,DT,0.71,0.71,0.67,0.73,0.74,0.69,0.70,0.71,0.69,0.70,0.64,0.66,
Irish,2,gender,False,3,NN,0.75,0.71,0.69,0.73,0.70,0.67,0.71,0.73,0.68,0.76,0.74,0.75,
Irish,2,gender,True,1,DT,0.81,0.71,0.71,0.73,0.74,0.70,0.76,0.74,0.71,0.77,0.69,0.67,
Irish,2,gender,True,2,RF,0.82,0.76,0.77,0.76,0.78,0.72,0.84,0.79,0.76,0.84,0.69,0.76,
Irish,3,case,True,1,DT,0.97,0.96,0.94,0.99,0.96,0.95,0.95,0.94,0.97,0.96,0.95,0.95,
Irish,3,case,True,3,NN,0.98,0.95,0.95,0.99,0.96,0.95,0.94,0.96,0.96,0.95,0.95,0.97,
Irish,3,case,False,2,RF,0.98,0.95,0.95,0.99,0.96,0.95,0.94,0.96,0.96,0.95,0.95,0.97,
Irish,3,case,True,2,RF,0.98,0.95,0.95,0.99,0.96,0.95,0.94,0.96,0.96,0.95,0.95,0.97,
Irish,3,case,False,1,DT,0.97,0.95,0.94,0.99,0.96,0.94,0.94,0.96,0.96,0.95,0.94,0.97,
Irish,3,case,False,3,NN,0.98,0.95,0.95,0.99,0.96,0.95,0.94,0.96,0.96,0.95,0.95,0.97,
