lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Irish,1,plurality,True,1,DT,0.65,0.64,0.71,0.55,0.67,0.65,0.68,0.64,0.69,0.63,0.58,0.63,
Irish,1,plurality,False,1,DT,0.66,0.66,0.78,0.59,0.69,0.68,0.65,0.65,0.68,0.60,0.63,0.65,
Irish,1,plurality,False,2,RF,0.66,0.69,0.79,0.60,0.69,0.71,0.69,0.63,0.69,0.66,0.65,0.67,
Irish,1,plurality,True,2,RF,0.72,0.72,0.80,0.62,0.70,0.70,0.72,0.65,0.73,0.68,0.64,0.66,
Irish,1,plurality,False,3,NN,0.59,0.65,0.70,0.59,0.62,0.67,0.60,0.55,0.59,0.65,0.63,0.59,
Irish,1,plurality,True,3,NN,0.67,0.66,0.73,0.61,0.66,0.65,0.66,0.57,0.64,0.69,0.68,0.60,
Irish,2,gender,False,1,DT,0.68,0.63,0.74,0.69,0.68,0.73,0.73,0.75,0.71,0.66,0.69,0.63,
Irish,2,gender,False,2,RF,0.68,0.69,0.76,0.74,0.74,0.72,0.76,0.77,0.76,0.74,0.76,0.70,
Irish,2,gender,False,3,NN,0.69,0.66,0.72,0.68,0.72,0.74,0.74,0.75,0.72,0.70,0.74,0.68,
Irish,2,gender,True,2,RF,0.77,0.69,0.79,0.77,0.74,0.70,0.82,0.79,0.80,0.78,0.77,0.71,
Irish,2,gender,True,3,NN,0.76,0.72,0.78,0.70,0.74,0.73,0.83,0.77,0.72,0.67,0.75,0.72,
Irish,2,gender,True,1,DT,0.75,0.73,0.78,0.67,0.71,0.71,0.78,0.70,0.73,0.64,0.72,0.71,
Irish,3,case,True,3,NN,0.97,0.96,0.97,0.96,0.95,0.97,0.98,0.98,0.97,0.95,0.97,0.94,
Irish,3,case,True,1,DT,0.97,0.96,0.96,0.96,0.95,0.97,0.97,0.99,0.97,0.94,0.97,0.94,
Irish,3,case,True,2,RF,0.97,0.96,0.97,0.96,0.95,0.97,0.98,0.98,0.97,0.95,0.97,0.94,
Irish,3,case,False,2,RF,0.97,0.96,0.97,0.96,0.95,0.97,0.98,0.98,0.97,0.95,0.97,0.94,
Irish,3,case,False,1,DT,0.97,0.96,0.97,0.96,0.95,0.96,0.97,0.98,0.96,0.93,0.96,0.94,
Irish,3,case,False,3,NN,0.97,0.96,0.97,0.96,0.95,0.97,0.98,0.98,0.97,0.95,0.97,0.94,
