lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.85,0.89,0.84,0.82,0.76,0.77,0.89,0.86,0.82,0.82,0.80,0.78,
Czech,1,plurality,False,1,DT,0.80,0.83,0.78,0.82,0.77,0.80,0.80,0.82,0.77,0.82,0.78,0.73,
Czech,1,plurality,False,2,RF,0.81,0.87,0.79,0.82,0.86,0.82,0.84,0.83,0.79,0.88,0.85,0.82,
Czech,1,plurality,True,2,RF,0.86,0.93,0.81,0.82,0.85,0.82,0.92,0.84,0.87,0.88,0.87,0.82,
Czech,1,plurality,False,3,NN,0.76,0.78,0.78,0.76,0.85,0.82,0.78,0.80,0.75,0.79,0.80,0.78,
Czech,1,plurality,True,3,NN,0.82,0.87,0.82,0.82,0.81,0.84,0.85,0.83,0.78,0.81,0.78,0.74,
Czech,2,gender,False,1,DT,0.63,0.61,0.58,0.56,0.50,0.57,0.63,0.59,0.64,0.57,0.59,0.52,
Czech,2,gender,False,2,RF,0.75,0.70,0.69,0.68,0.69,0.63,0.67,0.72,0.71,0.67,0.69,0.57,
Czech,2,gender,False,3,NN,0.72,0.61,0.68,0.67,0.66,0.67,0.59,0.75,0.69,0.67,0.69,0.67,
Czech,2,gender,True,2,RF,0.90,0.92,0.91,0.87,0.88,0.89,0.93,0.93,0.88,0.84,0.84,0.78,
Czech,2,gender,True,3,NN,0.94,0.91,0.88,0.84,0.79,0.72,0.90,0.95,0.91,0.86,0.84,0.80,
Czech,2,gender,True,1,DT,0.88,0.88,0.74,0.75,0.55,0.66,0.91,0.65,0.66,0.75,0.58,0.44,
Czech,3,case,True,3,NN,0.40,0.37,0.39,0.36,0.39,0.45,0.44,0.38,0.42,0.42,0.38,0.29,
Czech,3,case,True,1,DT,0.37,0.41,0.41,0.43,0.37,0.41,0.47,0.42,0.31,0.40,0.42,0.38,
Czech,3,case,True,2,RF,0.45,0.56,0.47,0.47,0.50,0.50,0.46,0.45,0.48,0.45,0.43,0.45,
Czech,3,case,False,2,RF,0.37,0.46,0.41,0.44,0.41,0.44,0.42,0.36,0.35,0.37,0.42,0.36,
Czech,3,case,False,1,DT,0.36,0.37,0.44,0.42,0.39,0.35,0.38,0.39,0.42,0.36,0.34,0.37,
Czech,3,case,False,3,NN,0.36,0.29,0.32,0.36,0.36,0.42,0.45,0.36,0.35,0.39,0.36,0.29,
