lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
French,1,plurality,True,1,DT,0.91,0.88,0.90,0.93,0.85,0.88,0.92,0.90,0.85,0.92,0.84,0.90,
French,1,plurality,True,2,RF,0.93,0.92,0.91,0.97,0.93,0.92,0.93,0.93,0.93,0.95,0.91,0.96,
French,1,plurality,False,1,DT,0.92,0.90,0.87,0.92,0.82,0.83,0.92,0.90,0.92,0.92,0.88,0.94,
French,1,plurality,True,3,NN,0.92,0.95,0.94,0.97,0.96,0.94,0.95,0.92,0.94,0.96,0.96,0.96,
French,1,plurality,False,3,NN,0.91,0.94,0.94,0.97,0.94,0.94,0.94,0.94,0.95,0.97,0.95,0.98,
French,1,plurality,False,2,RF,0.93,0.91,0.89,0.96,0.93,0.93,0.92,0.93,0.94,0.96,0.91,0.95,
French,2,gender,True,2,RF,0.79,0.81,0.82,0.78,0.81,0.82,0.80,0.79,0.76,0.78,0.80,0.81,
French,2,gender,True,1,DT,0.73,0.81,0.70,0.74,0.70,0.59,0.69,0.71,0.73,0.75,0.71,0.65,
French,2,gender,False,1,DT,0.69,0.75,0.74,0.67,0.70,0.68,0.74,0.76,0.71,0.72,0.66,0.67,
French,2,gender,True,3,NN,0.81,0.79,0.81,0.79,0.82,0.80,0.80,0.79,0.79,0.81,0.83,0.82,
French,2,gender,False,2,RF,0.78,0.79,0.83,0.80,0.80,0.81,0.79,0.78,0.75,0.80,0.82,0.81,
French,2,gender,False,3,NN,0.78,0.80,0.81,0.80,0.82,0.78,0.80,0.79,0.79,0.78,0.81,0.83,
