lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
German,1,plurality,True,1,DT,0.86,0.83,0.87,0.74,0.73,0.82,0.78,0.79,0.78,0.82,0.75,0.78,
German,1,plurality,False,3,NN,0.75,0.81,0.85,0.77,0.78,0.82,0.69,0.76,0.81,0.86,0.82,0.75,
German,1,plurality,False,1,DT,0.78,0.84,0.83,0.73,0.81,0.79,0.83,0.72,0.77,0.84,0.70,0.81,
German,1,plurality,True,2,RF,0.88,0.87,0.89,0.81,0.82,0.88,0.83,0.77,0.87,0.88,0.80,0.80,
German,1,plurality,False,2,RF,0.85,0.84,0.85,0.80,0.79,0.88,0.79,0.76,0.83,0.87,0.82,0.82,
German,1,plurality,True,3,NN,0.81,0.86,0.86,0.80,0.78,0.80,0.75,0.80,0.84,0.83,0.80,0.82,
German,2,gender,False,1,DT,0.42,0.51,0.50,0.53,0.55,0.45,0.45,0.51,0.48,0.44,0.50,0.45,
German,2,gender,False,2,RF,0.56,0.61,0.57,0.61,0.56,0.53,0.54,0.56,0.57,0.61,0.61,0.51,
German,2,gender,True,1,DT,0.50,0.57,0.47,0.55,0.53,0.50,0.50,0.46,0.48,0.57,0.56,0.47,
German,2,gender,True,2,RF,0.56,0.57,0.56,0.66,0.57,0.53,0.53,0.59,0.55,0.68,0.60,0.53,
German,2,gender,True,3,NN,0.56,0.57,0.54,0.56,0.54,0.61,0.52,0.58,0.53,0.58,0.59,0.45,
German,2,gender,False,3,NN,0.60,0.59,0.52,0.54,0.62,0.50,0.50,0.59,0.56,0.58,0.55,0.45,
German,3,case,False,1,DT,0.33,0.36,0.27,0.28,0.39,0.36,0.41,0.39,0.31,0.38,0.33,0.33,
German,3,case,True,1,DT,0.37,0.39,0.33,0.26,0.38,0.42,0.39,0.37,0.39,0.35,0.33,0.34,
German,3,case,True,3,NN,0.31,0.25,0.24,0.34,0.33,0.42,0.40,0.36,0.32,0.37,0.35,0.33,
German,3,case,True,2,RF,0.40,0.38,0.37,0.38,0.37,0.38,0.41,0.44,0.42,0.44,0.37,0.34,
German,3,case,False,3,NN,0.33,0.30,0.23,0.40,0.37,0.38,0.39,0.32,0.33,0.42,0.32,0.27,
German,3,case,False,2,RF,0.35,0.39,0.38,0.38,0.42,0.40,0.42,0.44,0.38,0.43,0.30,0.33,
