lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
French,1,plurality,True,1,DT,0.91,0.90,0.92,0.94,0.81,0.85,0.88,0.88,0.90,0.91,0.85,0.89,
French,1,plurality,True,2,RF,0.93,0.94,0.93,0.97,0.94,0.95,0.91,0.93,0.89,0.94,0.94,0.95,
French,1,plurality,False,1,DT,0.88,0.90,0.91,0.90,0.83,0.91,0.86,0.89,0.82,0.91,0.91,0.80,
French,1,plurality,True,3,NN,0.93,0.96,0.95,0.96,0.94,0.94,0.92,0.93,0.91,0.95,0.96,0.93,
French,1,plurality,False,3,NN,0.93,0.94,0.95,0.96,0.95,0.96,0.90,0.95,0.91,0.95,0.95,0.93,
French,1,plurality,False,2,RF,0.94,0.92,0.93,0.96,0.94,0.94,0.90,0.92,0.90,0.92,0.95,0.95,
French,2,gender,True,2,RF,0.85,0.76,0.81,0.82,0.82,0.83,0.81,0.79,0.81,0.81,0.83,0.81,
French,2,gender,True,1,DT,0.72,0.70,0.75,0.76,0.72,0.74,0.70,0.72,0.73,0.74,0.70,0.68,
French,2,gender,False,1,DT,0.75,0.69,0.71,0.71,0.77,0.75,0.69,0.68,0.70,0.71,0.69,0.77,
French,2,gender,True,3,NN,0.78,0.76,0.79,0.81,0.76,0.80,0.79,0.78,0.78,0.80,0.81,0.79,
French,2,gender,False,2,RF,0.82,0.77,0.79,0.82,0.80,0.83,0.77,0.81,0.81,0.81,0.82,0.78,
French,2,gender,False,3,NN,0.79,0.80,0.80,0.78,0.83,0.82,0.79,0.82,0.81,0.82,0.80,0.78,
